Cruise,Station No,Station Name,No of Grab,Latitude,Longitude,Date and Time,Gear Code,Gear Size,Depth,Abundance,Wet Weight,Carbon Biomass,Taxon Code,Species
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.014,0.00097,480142020000B,LAONICE SP.                           
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,10,0.003,0.00021,480142050300B,PRIONOSPIO STEENSTRUPI                
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.015,0.00103,480143010000B,MAGELONA SP.                          
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,15,0.067,0.00462,480143010200B,MAGELONA PACIFICA                     
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,75,0.391,0.02698,480149000000B,CIRRATULIDAE                          
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,310,4.484,0.18384,480157010100B,STERNASPIS SCUTATA                    
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,20,0.053,0.00366,480158060100B,BARANTOLLA AMERICANA                  
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.502,0.03514,480161090200B,PRAXILLELLA PRAETERMISSA              
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.103,0.00721,480161100000B,RHODINE SP.                           
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.004,0.00028,480162020100B,MYRIOCHELE HEERI                      
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.002,0.00015,480168020100B,EUCHONE ANALIS                        
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,1025,2.589,0.10097,490402030000B,ENNUCULA TENUIS [N. BELLOTI]          
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,1010,41.183,0.78248,490403020100B,NUCULANA PERNULA                      
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,295,0.878,0.02458,490415020100B,AXINOPSIDA SERRICATA                  
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,220,0.803,0.02248,490415030100B,THYASIRA FLEXUOSA                     
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,1.196,0.01794,490420010100B,CLINOCARDIUM CILIATUM                 
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,10,0.006,0.00021,490424010000B,MACOMA CALCAREA                       
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.01,0.00028,490432010000B,PANDORA SP.                           
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,40,0.369,0.01107,490506000000B,TROCHIDAE [SOLARIELLIDAE]             
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,25,0.793,0.02379,490506040200B,SOLARIELLA OBSCURA                    
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.057,0.00353,490511010000B,ALVANIA SP                            
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.071,0.00568,490525040200X,EUSPIRA PALLIDA [POLINICES PALLIDA] (X
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,50,0.561,0.03478,490540010000X,ADMETE SP (X)                         
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.009,0.00056,490549000000B,CYLICHNIDAE                           
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.02,0.00148,532804010100B,LEUCON NASICA                         
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,10,0.009,0.00067,533137000000B,OEDICEROTIDAE                         
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.003,0.00022,533137040000B,ARRHIS SP.                            
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,20,0.015,0.00111,533142100000B,HARPINIA SP.                          
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.17,0.00884,533311020000X,PAGURUS SP. (X)                       
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,10,0.003,0.00004,680306010000B,OPHIOPHOLIS SP.                       
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,10,0.009,0.00013,680309061100B,OPHIURA SARSI                         
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,5,18.906,1.75826,400000000000B,NEMERTEA [RHYNCOCOELA]                
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,10,0.022,0.00161,480101000000B,POLYNOIDAE                            
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,30,0.165,0.01205,480101030100B,ARCTEOBIA ANTICOSTIENISIS             
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,20,0.073,0.00533,480101060100B,GATTYANA AMONDSENI                    
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,15,0.008,0.00055,480105010100B,PHOLOE MINUTA                         
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,15,1.563,0.11254,480124010000B,NEPHTYS SP.                           
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,10,0.132,0.0095,480124010300B,NEPHTYS CAECA                         
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,10,0.126,0.00769,480139030100B,SCOLOPLOS ARMIGER                     
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,20,0.064,0.0039,480139030200B,LEITOSCOLOPLOS PUGETTENSIS            
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,25,0.243,0.01677,480149000000B,CIRRATULIDAE                          
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,5,0.001,0.00007,480150010000B,COSSURA SP.                           
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,20,0.437,0.01792,480157010100B,STERNASPIS SCUTATA                    
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,10,0.135,0.00931,480158020000B,HETEROMASTUS SP.                      
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,35,5.787,0.40509,480161030100B,MALDANE SARSI                         
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,10,2.457,0.17199,480161090200B,PRAXILLELLA PRAETERMISSA              
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,5,0.86,0.05246,480166110300B,THELEPUS CINCINNATUS                  
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,5,0.058,0.004,480176010200B,DISOMA MULTISETOSUM                   
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,1340,12.274,0.47869,490402030000B,ENNUCULA TENUIS [N. BELLOTI]          
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,55,4.04,0.07676,490403010000B,NUCULANA MINUTA                       
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,1225,117.058,2.2241,490403020100B,NUCULANA PERNULA                      
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,20,0.088,0.00246,490415020100B,AXINOPSIDA SERRICATA                  
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,15,0.711,0.02489,490424010000B,MACOMA CALCAREA                       
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,170,0.213,0.01321,490549000000B,CYLICHNIDAE                           
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,115,0.115,0.00713,490549020300B,CYLICHNA ALBA                         
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,25,0.044,0.00326,532804010000B,LEUCON SP.                            
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,20,0.022,0.00163,532804010100B,LEUCON NASICA                         
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,5,0.002,0.00014,533126020000B,PHOTIS SP.                            
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,235,1.35,0.0918,533126030000B,PROTOMEDEIA SP.                       
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,45,0.109,0.00883,533134290000B,ORCHOMENE SP.                         
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,10,0.006,0.00044,533137020000B,ACEROIDES SP.                         
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,35,0.074,0.00548,533137040000B,ARRHIS SP.                            
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,10,0.041,0.00303,533137050000B,BATHYMEDON SP.                        
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,5,0.006,0.00044,533142100000B,HARPINIA SP.                          
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,15,0.536,0.03966,533154100500B,MELITA ALASKENSIS                     
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,5,0.13,0.01196,533156020100B,PONTOPOREIA FEMORATA                  
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,110,4.305,0.3487,533157490000B,CENTROMEDON SP.                       
AMB15,13,CL3   ,2,69.034,-168.893,20150814,VV,0.1,51,40,0.071,0.00099,680309061100B,OPHIURA SARSI                         
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.699,0.04823,480100000000F,POLYCHAETA FRAGMENT                   
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.004,0.00029,480101000000B,POLYNOIDAE                            
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.059,0.00431,480101030100B,ARCTEOBIA ANTICOSTIENISIS             
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.011,0.00076,480105010100B,PHOLOE MINUTA                         
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.019,0.00165,480112020000B,ETEONE SP.                            
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.071,0.00511,480124010000B,NEPHTYS SP.                           
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.074,0.00533,480124010300B,NEPHTYS CAECA                         
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.023,0.00159,480127010200B,GLYCINDE WIRENII                      
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,16.25,1.51125,480130010000B,SCOLETOMA [LUMBRINERIS] SP.           
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.02,0.00122,480139030100B,SCOLOPLOS ARMIGER                     
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.014,0.00085,480139030200B,LEITOSCOLOPLOS PUGETTENSIS            
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,70,0.826,0.05699,480149000000B,CIRRATULIDAE                          
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.003,0.00021,480150010000B,COSSURA SP.                           
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,20,0.301,0.02077,480158020000B,HETEROMASTUS SP.                      
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,90,8.776,0.61432,480161030100B,MALDANE SARSI                         
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,15,0.357,0.02499,480161090101B,PRAXILLELLA GRACILIS ORIENTALIS       
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.038,0.00266,480161090200B,PRAXILLELLA PRAETERMISSA              
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.08,0.0056,480161100000B,RHODINE SP.                           
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,3.526,0.24329,480167010100B,TEREBELLIDES STROEMII                 
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,95,0.113,0.00441,490402030000B,ENNUCULA TENUIS [N. BELLOTI]          
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,2.27,0.06356,490412010500B,CYCLOCARDIA CRASSIDENS                
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.002,0.00006,490418010400B,KURTIELLA PLANATA [MYSELLA PLANATA]   
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.258,0.02064,490525040200X,EUSPIRA PALLIDA [POLINICES PALLIDA] (X
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.004,0.00025,490540010000X,ADMETE SP (X)                         
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.006,0.00037,490549000000B,CYLICHNIDAE                           
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.006,0.00037,490549020300B,CYLICHNA ALBA                         
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,25,0.05,0.0037,530700000000B,OSTRACODA                             
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,55,0.122,0.00903,532804010000B,LEUCON SP.                            
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,30,0.113,0.00836,532804010100B,LEUCON NASICA                         
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,110,0.095,0.00703,532804020000B,EUDORELLA SP.                         
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.01,0.00074,532804020100B,EUDORELLA EMARGINATA                  
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,15,0.014,0.00104,532804020200B,EUDORELLA PACIFICA                    
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.009,0.00067,532804030500B,EUDORELLOPSIS USCHAKOVI               
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,20,0.357,0.02428,533102020000B,BYBLIS SP.                            
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.004,0.00027,533126020000B,PHOTIS SP.                            
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,40,0.034,0.00231,533126030000B,PROTOMEDEIA SP.                       
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,15,0.031,0.00251,533134290000B,ORCHOMENE SP.                         
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.007,0.00052,533137020000B,ACEROIDES SP.                         
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,40,0.041,0.00303,533137040000B,ARRHIS SP.                            
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,140,0.109,0.00807,533142100000B,HARPINIA SP.                          
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.27,0.01998,533154080200B,MAERA LOVENI                          
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.165,0.00858,533311020000X,PAGURUS SP. (X)                       
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.354,0.01593,610101020200B,PRIAPULUS CAUDATUS                    
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,5,0.004,0.00006,680306010000B,OPHIOPHOLIS SP.                       
AMB15,15,CL2   ,2,69.029,-167.934,20150814,VV,0.1,48,10,0.097,0.00136,680309061100B,OPHIURA SARSI                         
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.026,0.00159,330300000000F,ANTHOZOA FRAGMENT                     
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.058,0.00116,350502010000B,LEPTOPLANTA SP.                       
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,10,0.173,0.01194,480100000000F,POLYCHAETA FRAGMENT                   
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,35,0.194,0.01416,480101030100B,ARCTEOBIA ANTICOSTIENISIS             
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,30,0.069,0.00504,480101060100B,GATTYANA AMONDSENI                    
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,40,0.039,0.00269,480105010100B,PHOLOE MINUTA                         
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.002,0.00017,480112020700B,ETEONE BARBATA                        
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.002,0.00017,480112100000B,EUMIDA SP.                            
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.033,0.00228,480122010300B,AUTOLYTUS PRISMATICUS                 
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.018,0.00124,480122060100B,EUSYLLIS ASSIMILIS                    
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,15,0.01,0.00069,480122170000B,MYRIANIDA SP.                         
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.025,0.0018,48012401000JB,NEPHTYS JUVENILE                      
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,10,0.012,0.00083,480127010200B,GLYCINDE WIRENII                      
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.001,0.00007,480127020100B,GONIADA ANNULATA                      
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,15,0.252,0.01537,480139030100B,SCOLOPLOS ARMIGER                     
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,25,0.374,0.02281,480139030200B,LEITOSCOLOPLOS PUGETTENSIS            
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.001,0.00007,480140020400B,ARICIDEA JEFFREYSEI                   
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.016,0.0011,480142040000B,POLYDORA SP.                          
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.007,0.00048,480142050200B,PRIONOSPIO CIRRIFERA                  
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,10,0.008,0.00055,480142050300B,PRIONOSPIO STEENSTRUPI                
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,195,0.245,0.01691,480149000000B,CIRRATULIDAE                          
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,30,0.077,0.00531,480155010100B,SCALIBREGMA INFLATUM                  
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.0001,0.00001,480158020000B,HETEROMASTUS SP.                      
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.007,0.00048,480158030000B,NOTOMASTUS SP.                        
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,30,0.007,0.00048,480158060100B,BARANTOLLA AMERICANA                  
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.627,0.04389,480161050000B,NICOMACHE SP.                         
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.033,0.00231,480161070200B,PETALOPROCTUS TENUIS                  
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.026,0.00182,480161090000B,PRAXILLELLA SP.                       
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.135,0.00945,480161090200B,PRAXILLELLA PRAETERMISSA              
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,15,0.051,0.00357,480161100000B,RHODINE SP.                           
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,65,0.312,0.02153,480162020200B,MYRIOCHELE OCULATA                    
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.012,0.00083,480165040100B,LYSIPPE LABIATA                       
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.003,0.00023,480168020100B,EUCHONE ANALIS                        
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,335,6.422,0.25046,490402030000B,ENNUCULA TENUIS [N. BELLOTI]          
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,15,0.011,0.00016,490411010200B,ASTARTE ALASKENSIS                    
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.017,0.00048,490412010500B,CYCLOCARDIA CRASSIDENS                
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,110,0.122,0.00342,490415020100B,AXINOPSIDA SERRICATA                  
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,45,0.681,0.01907,490415030100B,THYASIRA FLEXUOSA                     
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,10,0.046,0.00129,490418010400B,KURTIELLA PLANATA [MYSELLA PLANATA]   
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.004,0.00011,490418040000B,PLANKTOMYA SP.                        
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,15,0.308,0.00862,490421040100B,LIOCYMA FLUCTUOSA                     
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.838,0.02933,490424010000B,MACOMA CALCAREA                       
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,10,0.004,0.00014,490424011800B,MACOMA TORELLI                        
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,10,0.004,0.00014,490424030000B,MACOMA MOESTA                         
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,30,0.012,0.00042,490424050000B,MACOMA SP.                            
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,15,0.034,0.00095,490428020100B,MYA ARENARIA                          
AMB15,17,ML6.1 ,2,70.087,-163.96,20150815,VV,0.1,30,5,0.0001,0.00001,490428020300B,MYA TRUNCATA                          
