Cruise,locationID,samplingProtocol,Haul,scientificName,LengthClass10mm,TotalLength,Weight,Count
AMBON15,ML3.1,Bongo,47,Lumpenus fabricii,,50,,1
AMBON15,ML3.1,Bongo,47,Podothecus veternus,,24,,1
AMBON15,ML3.13,Bongo,36,Ammodytes hexapterus,,29,,1
AMBON15,ML6.7,Bongo,17,Boreogadus saida,,47,,1
AMBON15,ML3.6,Bongo,43,Stichaeidae,,21,,1
AMBON15,ML3.7,Bongo,42,Liparis sp.,,18,,1
AMBON15,ML3.7,Bongo,42,Liparis sp.,,23,,1
AMBON15,ML3.8,Bongo,41,Stichaeidae,,22,,1
AMBON15,ML3.8,Bongo,41,Teleost,,17,,1
AMBON15,ML4.1,Bongo,20,Eleginus gracilis,,31,,1
AMBON15,ML4.1,Bongo,20,Eleginus gracilis,,37,,1
AMBON15,ML4.1,Bongo,20,Eleginus gracilis,,42,,1
AMBON15,ML4.10,Bongo,30,Gadidae,,18,,1
AMBON15,ML4.10,Bongo,30,Liparis sp.,,31,,1
AMBON15,ML4.12,Bongo,32,Liparis sp.,,31,,1
AMBON15,ML4.14,Bongo,34,Stichaeidae,,51,,1
AMBON15,ML4.3,Bongo,22,Ammodytes hexapterus,,29,,1
AMBON15,ML4.3,Bongo,22,Ammodytes hexapterus,,26,,1
AMBON15,ML4.3,Bongo,22,Ammodytes hexapterus,,35,,1
AMBON15,ML4.3,Bongo,22,Gadidae,,23,,1
AMBON15,ML4.3,Bongo,22,Gadidae,,29,,1
AMBON15,ML4.3,Bongo,22,Gadidae,,27,,1
AMBON15,ML4.3,Bongo,22,Liparis sp.,,22,,1
AMBON15,ML4.7,Bongo,27,Gadidae,,25,,1
AMBON15,ML4.9,Bongo,29,Gadidae,,19,,1
AMBON15,ML5.2,Bongo,54,Ammodytes hexapterus,,45,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,33,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,35,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,36,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,32,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,39,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,34,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,45,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,44,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,49,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,47,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,41,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,46,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,42,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,60,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,57,,1
AMBON15,ML5.4,Bongo,53,Ammodytes hexapterus,,56,,1
AMBON15,ML5.4,Bongo,53,Boreogadus saida,,34,,1
AMBON15,ML5.4,Bongo,53,Boreogadus saida,,44,,1
AMBON15,ML5.4,Bongo,53,Boreogadus saida,,46,,1
AMBON15,ML5.4,Bongo,53,Liparis sp.,,38,,1
AMBON15,ML5.5,Bongo,52,Ammodytes hexapterus,,26,,1
AMBON15,ML5.5,Bongo,52,Boreogadus saida,,31,,1
AMBON15,ML5.5,Bongo,52,Stichaeidae,,27,,1
AMBON15,ML5.6,Bongo,51,Ammodytes hexapterus,,17,,1
AMBON15,ML5.6,Bongo,51,Ammodytes hexapterus,,17,,1
AMBON15,ML5.6,Bongo,51,Stichaeidae,,18,,1
AMBON15,ML5.9,Bongo,49,Ammodytes hexapterus,,37,,1
AMBON15,ML5.9,Bongo,49,Ammodytes hexapterus,,22,,1
AMBON15,ML5.9,Bongo,49,Ammodytes hexapterus,,20,,1
AMBON15,ML5.9,Bongo,49,Teleost,,,,1
AMBON15,ML6.11,Bongo,24,Boreogadus saida,,31,,1
AMBON15,ML6.4,Bongo,14,Liparis sp.,,37,,1
AMBON15,ML6.6,Bongo,16,Ammodytes hexapterus,,36,,1
AMBON15,ML6.6,Bongo,16,Gadidae,,18,,1
AMBON15,ML6.6,Bongo,16,Gadidae,,19,,1
AMBON15,ML6.6,Bongo,16,Gadidae,,14,,1
AMBON15,ML6.6,Bongo,16,Gadidae,,23,,1
AMBON15,ML6.6,Bongo,16,Stichaeidae,,35,,1
AMBON15,ML6.9,Bongo,19,Lumpenus fabricii,,53,,1
AMBON15,CL0,IKMT,3,Teleost,,,,1
AMBON15,CL0,IKMT,3,Teleost,,,,1
AMBON15,CL3,IKMT,4,Ammodytes hexapterus,,43,,1
AMBON15,CL3,IKMT,4,Ammodytes hexapterus,,42,,1
AMBON15,CL3,IKMT,4,Ammodytes hexapterus,,42,,1
AMBON15,CL3,IKMT,4,Gadidae,,36,,1
AMBON15,CL3,IKMT,4,Gadidae,,31,,1
AMBON15,CL3,IKMT,4,Gadidae,,35,,1
AMBON15,CL3,IKMT,4,Gadidae,,32,,1
AMBON15,CL3,IKMT,4,Gadidae,,32,,1
AMBON15,CL3,IKMT,4,Gymnocanthus tricuspis,,34,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,23,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,28,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,21,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,21,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,23,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,22,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,25,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,30,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,26,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,21,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,18,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,19,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,20,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,20,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,15,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,12,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,23,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,29,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,16,,1
AMBON15,CL3,IKMT,4,Pleuronectidae,,25,,1
AMBON15,CL3,IKMT,4,Stichaeidae,,36,,1
AMBON15,CL3,IKMT,4,Teleost,,21,,1
AMBON15,DBO3.2,IKMT,2,Gadidae,,30,,1
AMBON15,DBO3.2,IKMT,2,Gadidae,,22,,1
AMBON15,DBO3.2,IKMT,2,Gadidae,,29,,1
AMBON15,DBO3.2,IKMT,2,Gadidae,,29,,1
AMBON15,DBO3.2,IKMT,2,Gadidae,,37,,1
AMBON15,DBO3.2,IKMT,2,Gadidae,,39,,1
AMBON15,DBO3.2,IKMT,2,Gadidae,,33,,1
AMBON15,DBO3.2,IKMT,2,Pleuronectidae,,18,,1
AMBON15,DBO3.2,IKMT,2,Pleuronectidae,,25,,1
AMBON15,DBO3.2,IKMT,2,Pleuronectidae,,21,,1
AMBON15,DBO3.2,IKMT,2,Pleuronectidae,,36,,1
AMBON15,DBO3.2,IKMT,2,Pleuronectidae,,35,,1
AMBON15,DBO3.8,IKMT,1,Gadidae,,25,,1
AMBON15,DBO3.8,IKMT,1,Gadidae,,20,,1
AMBON15,DBO3.8,IKMT,1,Liparidae,,20,,1
AMBON15,DBO3.8,IKMT,1,Liparidae,,19,,1
AMBON15,DBO3.8,IKMT,1,Liparidae,,16,,1
AMBON15,DBO3.8,IKMT,1,Pleuronectidae,,21,,1
AMBON15,DBO3.8,IKMT,1,Pleuronectidae,,24,,1
AMBON15,DBO3.8,IKMT,1,Pleuronectidae,,24,,1
AMBON15,DBO3.8,IKMT,1,Pleuronectidae,,26,,1
AMBON15,DBO3.8,IKMT,1,Pleuronectidae,,23,,1
AMBON15,DBO3.8,IKMT,1,Pleuronectidae,,25,,1
AMBON15,DBO3.8,IKMT,1,Pleuronectidae,,22,,1
AMBON15,DBO3.8,IKMT,1,Pleuronectidae,,26,,1
AMBON15,DBO3.8,IKMT,1,Pleuronectidae,,14,,1
AMBON15,DBO3.8,IKMT,1,Stichaeidae,,41,,1
AMBON15,ML1.10,IKMT,26,Ammodytes hexapterus,,44,,1
AMBON15,ML1.10,IKMT,26,Gymnocanthus tricuspis,,40,,1
AMBON15,ML1.10,IKMT,26,Gymnocanthus tricuspis,,37,,1
AMBON15,ML1.10,IKMT,26,Gymnocanthus tricuspis,,41,,1
AMBON15,ML1.10,IKMT,26,Gymnocanthus tricuspis,,43,,1
AMBON15,ML1.10,IKMT,26,Stichaeidae,,37,,1
AMBON15,ML1.10,IKMT,26,Stichaeidae,,38,,1
AMBON15,ML1.13,IKMT,25,Ammodytes hexapterus,,24,,1
AMBON15,ML1.13,IKMT,25,Ammodytes hexapterus,,30,,1
AMBON15,ML1.13,IKMT,25,Ammodytes hexapterus,,29,,1
AMBON15,ML1.13,IKMT,25,Gymnocanthus tricuspis,,40,,1
AMBON15,ML1.13,IKMT,25,Gymnocanthus tricuspis,,36,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,35,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,35,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,37,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,37,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,35,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,34,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,36,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,35,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,37,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,34,,1
AMBON15,ML1.13,IKMT,25,Stichaeidae,,36,,1
AMBON15,ML1.3,IKMT,29,Boreogadus saida,,31,,1
AMBON15,ML1.3,IKMT,29,Boreogadus saida,,47,,1
AMBON15,ML1.3,IKMT,29,Gymnocanthus tricuspis,,36,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,59,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,59,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,51,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,53,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,54,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,59,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,54,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,51,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,58,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,58,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,55,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,48,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,49,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,49,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,50,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,61,,1
AMBON15,ML1.3,IKMT,29,Lumpenus fabricii,,61,,1
AMBON15,ML1.3,IKMT,29,Pleuronectidae,,31,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,34,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,39,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,35,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,32,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,39,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,32,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,38,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,38,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,35,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,36,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,39,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,35,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,39,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,37,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,36,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,32,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,35,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,38,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,34,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,39,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,39,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,37,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,36,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,33,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,39,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,35,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,35,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,35,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,37,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,32,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,40,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,36,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,42,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,41,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,48,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,42,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,46,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,41,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,42,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,43,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,43,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,43,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,44,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,50,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,46,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,41,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,42,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,47,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,41,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,45,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,42,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,42,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,50,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,43,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,46,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,47,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,44,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,46,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,46,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,41,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,43,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,44,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,45,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,46,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,44,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,50,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,47,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,47,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,41,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,50,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,46,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,44,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,47,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,45,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,48,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,50,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,41,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,43,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,43,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,48,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,42,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,48,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,41,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,42,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,45,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,58,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,53,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,52,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,54,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,52,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,55,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,53,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,51,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,53,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,29,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,67,,1
AMBON15,ML1.6,IKMT,28,Ammodytes hexapterus,,20,,1
AMBON15,ML1.6,IKMT,28,Aspidophoroides olrikii,,36,,1
AMBON15,ML1.6,IKMT,28,Aspidophoroides olrikii,,35,,1
AMBON15,ML1.6,IKMT,28,Aspidophoroides olrikii,,38,,1
AMBON15,ML1.6,IKMT,28,Aspidophoroides olrikii,,36,,1
AMBON15,ML1.6,IKMT,28,Aspidophoroides olrikii,,37,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,64,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,61,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,61,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,53,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,53,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,56,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,58,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,60,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,57,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,58,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,51,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,54,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,53,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,51,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,58,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,51,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,54,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,54,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,56,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,60,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,51,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,60,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,59,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,53,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,56,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,51,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,58,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,57,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,54,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,57,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,51,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,60,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,53,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,53,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,51,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,54,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,53,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,54,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,54,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,51,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,55,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,54,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,52,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,57,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,53,,1
AMBON15,ML1.6,IKMT,28,Boreogadus saida,,40,,1
